#E,eV        Sig,b        Interpolation
 0.0105656   1.85145      Lin-Lin
 0.0116543   1.82724      Lin-Lin
 0.0119568   1.82117      Lin-Lin
 0.0128551   1.80588      Lin-Lin
 0.0141796   1.78581      Lin-Lin
 0.0156406   1.76604      Lin-Lin
 0.0169716   1.7499       Lin-Lin
 0.0172522   1.74698      Lin-Lin
 0.0190298   1.73066      Lin-Lin
 0.0209906   1.71469      Lin-Lin
 0.0231534   1.69903      Lin-Lin
 0.0252118   1.68563      Lin-Lin
 0.0252419   1.68545      Lin-Lin
 0.0253      1.68512      Lin-Lin
 0.0279068   1.67233      Lin-Lin
 0.0307823   1.65991      Lin-Lin
 0.033954    1.64782      Lin-Lin
 0.0374525   1.63601      Lin-Lin
 0.0413115   1.62444      Lin-Lin
 0.0427851   1.6205       Lin-Lin
 0.0455681   1.61428      Lin-Lin
 0.0502633   1.60512      Lin-Lin
 0.0554423   1.59627      Lin-Lin
 0.0611549   1.5877       Lin-Lin
 0.0674561   1.57937      Lin-Lin
 0.0744066   1.57127      Lin-Lin
 0.0820732   1.56337      Lin-Lin
 0.0874161   1.55849      Lin-Lin
 0.0905297   1.55612      Lin-Lin
 0.0998577   1.54995      Lin-Lin
 0.110147    1.54403      Lin-Lin
 0.121496    1.53835      Lin-Lin
 0.134014    1.53289      Lin-Lin
 0.147823    1.52763      Lin-Lin
 0.163054    1.52256      Lin-Lin
 0.179855    1.51767      Lin-Lin
 0.198386    1.51294      Lin-Lin
 0.218827    1.50837      Lin-Lin
 0.241375    1.50393      Lin-Lin
 0.266245    1.4996       Lin-Lin
 0.268123    1.49931      Lin-Lin
 0.293678    1.49608      Lin-Lin
 0.323938    1.49277      Lin-Lin
 0.357316    1.48962      Lin-Lin
 0.394132    1.48663      Lin-Lin
 0.434743    1.48378      Lin-Lin
 0.48292     1.48087      Lin-Lin
 0.532679    1.47828      Lin-Lin
 0.587564    1.4758       Lin-Lin
 0.648105    1.47344      Lin-Lin
 0.714884    1.47119      Lin-Lin
 0.788543    1.46904      Lin-Lin
 0.869792    1.467        Lin-Lin
 0.959413    1.46503      Lin-Lin
 1.05827     1.46315      Lin-Lin
 1.16731     1.46135      Lin-Lin
 1.28758     1.45963      Lin-Lin
 1.42025     1.45797      Lin-Lin
 1.56659     1.45639      Lin-Lin
 1.72801     1.45486      Lin-Lin
 1.90606     1.45341      Lin-Lin
 2.10245     1.45199      Lin-Lin
 2.31908     1.45062      Lin-Lin
 2.55803     1.4493       Lin-Lin
 2.82161     1.44802      Lin-Lin
 3.11233     1.44677      Lin-Lin
 3.43302     1.44556      Lin-Lin
 3.76022     1.44447      Lin-Lin
