#E,eV        Sig,b        Interpolation
 1E-05       971.324      Lin-Lin
 1.10304E-05 925.302      Lin-Lin
 1.1078E-05  923.256      Lin-Lin
 1.21669E-05 881.387      Lin-Lin
 1.22194E-05 879.445      Lin-Lin
 1.34206E-05 839.596      Lin-Lin
 1.34785E-05 837.748      Lin-Lin
 1.48034E-05 799.824      Lin-Lin
 1.48673E-05 798.065      Lin-Lin
 1.63286E-05 761.975      Lin-Lin
 1.63991E-05 760.301      Lin-Lin
 1.80111E-05 725.958      Lin-Lin
 1.80889E-05 724.366      Lin-Lin
 1.98669E-05 691.688      Lin-Lin
 1.99527E-05 690.172      Lin-Lin
 2.19139E-05 659.079      Lin-Lin
 2.20085E-05 657.637      Lin-Lin
 2.41719E-05 628.056      Lin-Lin
 2.42762E-05 626.684      Lin-Lin
 2.66625E-05 598.543      Lin-Lin
 2.67776E-05 597.238      Lin-Lin
 2.94097E-05 570.468      Lin-Lin
 2.95367E-05 569.227      Lin-Lin
 3.244E-05   543.765      Lin-Lin
 3.258E-05   542.584      Lin-Lin
 3.57825E-05 518.369      Lin-Lin
 3.5937E-05  517.246      Lin-Lin
 3.94694E-05 494.219      Lin-Lin
 3.96398E-05 493.151      Lin-Lin
 4.35362E-05 471.256      Lin-Lin
 4.37242E-05 470.241      Lin-Lin
 4.80221E-05 449.426      Lin-Lin
 4.82294E-05 448.461      Lin-Lin
 5.29701E-05 428.676      Lin-Lin
 5.31988E-05 427.759      Lin-Lin
 5.8428E-05  409.028      Lin-Lin
 5.90942E-05 406.735      Lin-Lin
 6.44482E-05 390.34       Lin-Lin
 6.56397E-05 386.836      Lin-Lin
 7.10888E-05 372.574      Lin-Lin
 7.29137E-05 367.988      Lin-Lin
 7.84136E-05 355.688      Lin-Lin
 8.09899E-05 350.158      Lin-Lin
 8.64931E-05 339.644      Lin-Lin
 8.9965E-05  333.28       Lin-Lin
 9.54051E-05 324.403      Lin-Lin
 9.99298E-05 317.323      Lin-Lin
 0.000105235 309.931      Lin-Lin
 0.000111004 302.227      Lin-Lin
 0.000116078 296.193      Lin-Lin
 0.000123299 287.967      Lin-Lin
 0.000128039 283.158      Lin-Lin
 0.000136963 274.487      Lin-Lin
 0.000141232 270.793      Lin-Lin
 0.000152133 261.764      Lin-Lin
 0.000155784 259.071      Lin-Lin
 0.000168993 249.749      Lin-Lin
 0.000171835 247.962      Lin-Lin
 0.00018771  238.421      Lin-Lin
 0.00018954  237.442      Lin-Lin
 0.000208513 227.736      Lin-Lin
 0.00020907  227.482      Lin-Lin
 0.000230612 218.108      Lin-Lin
 0.000231608 217.693      Lin-Lin
 0.000256169 208.62       Lin-Lin
 0.000257274 208.23       Lin-Lin
 0.000284542 199.735      Lin-Lin
 0.000287787 198.769      Lin-Lin
 0.000316075 191.37       Lin-Lin
 0.000321918 189.911      Lin-Lin
 0.000351084 183.513      Lin-Lin
 0.000360097 181.627      Lin-Lin
 0.000389991 176.132      Lin-Lin
 0.000402804 173.886      Lin-Lin
 0.000433187 169.211      Lin-Lin
 0.000450576 166.662      Lin-Lin
 0.000481192 162.722      Lin-Lin
 0.000504014 159.927      Lin-Lin
 0.00053449  156.663      Lin-Lin
 0.000567738 153.279      Lin-Lin
 0.000593722 150.975      Lin-Lin
 0.000639551 147.117      Lin-Lin
 0.000659484 145.655      Lin-Lin
 0.000720411 141.419      Lin-Lin
 0.000732567 140.685      Lin-Lin
 0.000813708 136.048      Lin-Lin
 0.000817221 135.857      Lin-Lin
 0.000903882 131.805      Lin-Lin
 0.000927039 130.777      Lin-Lin
 0.001004    127.846      Lin-Lin
 0.00105903  125.862      Lin-Lin
 0.00112156  123.933      Lin-Lin
 0.00120976  121.363      Lin-Lin
 0.00124585  120.463      Lin-Lin
 0.00139169  117.04       Lin-Lin
 0.00139361  117.002      Lin-Lin
 0.00155889  113.902      Lin-Lin
 0.00161227  112.957      Lin-Lin
 0.00174377  110.995      Lin-Lin
 0.0018809   109.07       Lin-Lin
 0.00195058  108.246      Lin-Lin
 0.00218192  105.684      Lin-Lin
 0.00221746  105.312      Lin-Lin
 0.00244069  103.367      Lin-Lin
 0.0026418   101.723      Lin-Lin
 0.00273015  101.118      Lin-Lin
 0.00303255  99.1828      Lin-Lin
 0.00318577  98.262       Lin-Lin
 0.00336862  97.3469      Lin-Lin
 0.00371571  95.7273      Lin-Lin
 0.00393078  94.7882      Lin-Lin
 0.00409856  94.1795      Lin-Lin
 0.0044892   92.8671      Lin-Lin
 0.00491731  91.532       Lin-Lin
 0.00494963  91.4383      Lin-Lin
 0.00534852  90.4871      Lin-Lin
 0.00581753  89.4602      Lin-Lin
 0.00628336  88.521       Lin-Lin
 0.00640449  88.2953      Lin-Lin
 0.00678682  87.7162      Lin-Lin
 0.00733026  86.9688      Lin-Lin
 0.0079176   86.2343      Lin-Lin
 0.00855158  85.5112      Lin-Lin
 0.00859518  85.4656      Lin-Lin
 0.00923678  84.9379      Lin-Lin
 0.0100468   84.3403      Lin-Lin
 0.0109278   83.7549      Lin-Lin
 0.0119693   83.1276      Lin-Lin
 0.0120999   83.0558      Lin-Lin
 0.0131108   82.6341      Lin-Lin
 0.0143604   82.1657      Lin-Lin
 0.01584     81.6645      Lin-Lin
 0.0174721   81.1626      Lin-Lin
 0.0182936   80.9318      Lin-Lin
 0.0192724   80.7165      Lin-Lin
 0.0212582   80.3248      Lin-Lin
 0.0234485   79.9355      Lin-Lin
 0.0251859   79.6527      Lin-Lin
 0.025225    79.6469      Lin-Lin
 0.0253      79.6363      Lin-Lin
 0.0279068   79.3384      Lin-Lin
 0.0307823   79.0484      Lin-Lin
 0.033954    78.7651      Lin-Lin
 0.0374525   78.4866      Lin-Lin
 0.0416029   78.1901      Lin-Lin
 0.046537    77.8705      Lin-Lin
