#E,eV        Sig,b        Interpolation
 0.0105656   9.41103      Lin-Lin
 0.0116543   9.40571      Lin-Lin
 0.0128551   9.40022      Lin-Lin
 0.0141796   9.39453      Lin-Lin
 0.0156406   9.3886       Lin-Lin
 0.0172522   9.38237      Lin-Lin
 0.0190298   9.37582      Lin-Lin
 0.0209906   9.36888      Lin-Lin
 0.0231534   9.36151      Lin-Lin
 0.0241022   9.35838      Lin-Lin
 0.0251838   9.3566       Lin-Lin
 0.0252184   9.35654      Lin-Lin
 0.0252419   9.3565       Lin-Lin
 0.0253      9.35641      Lin-Lin
 0.0279068   9.3545       Lin-Lin
 0.0307823   9.35264      Lin-Lin
 0.033954    9.35081      Lin-Lin
 0.0374525   9.34902      Lin-Lin
 0.0413115   9.34725      Lin-Lin
 0.0455681   9.3455       Lin-Lin
 0.0502633   9.34377      Lin-Lin
 0.0554423   9.34203      Lin-Lin
 0.0611549   9.34029      Lin-Lin
 0.0674561   9.33854      Lin-Lin
 0.0744066   9.33677      Lin-Lin
 0.0820732   9.33496      Lin-Lin
 0.0905297   9.3331       Lin-Lin
 0.0998577   9.33119      Lin-Lin
 0.110147    9.32921      Lin-Lin
 0.121496    9.32715      Lin-Lin
 0.13496     9.32484      Lin-Lin
 0.148866    9.32257      Lin-Lin
 0.164204    9.32016      Lin-Lin
 0.181123    9.31762      Lin-Lin
 0.199786    9.3149       Lin-Lin
 0.220371    9.3143       Lin-Lin
 0.243077    9.31372      Lin-Lin
 0.268123    9.31318      Lin-Lin
 0.29575     9.31265      Lin-Lin
 0.326223    9.31214      Lin-Lin
 0.359836    9.31165      Lin-Lin
 0.396913    9.31118      Lin-Lin
 0.437809    9.31072      Lin-Lin
 0.48292     9.31028      Lin-Lin
 0.540194    9.30979      Lin-Lin
 0.595854    9.30938      Lin-Lin
 0.657249    9.30897      Lin-Lin
 0.724969    9.30858      Lin-Lin
 0.799668    9.30819      Lin-Lin
 0.882063    9.30781      Lin-Lin
 0.959413    9.30748      Lin-Lin
 1.05827     9.3071       Lin-Lin
 1.16731     9.30673      Lin-Lin
 1.27857     9.30638      Lin-Lin
 1.40049     9.30602      Lin-Lin
 1.5448      9.30564      Lin-Lin
 1.70397     9.30525      Lin-Lin
 1.87954     9.30485      Lin-Lin
 2.0732      9.30443      Lin-Lin
 2.30284     9.30398      Lin-Lin
 2.52245     9.30357      Lin-Lin
 2.74364     9.30317      Lin-Lin
 2.98424     9.30276      Lin-Lin
 3.29172     9.30225      Lin-Lin
 3.63089     9.30172      Lin-Lin
 4.00501     9.30115      Lin-Lin
 4.5432      9.30036      Lin-Lin
 5.01132     9.2997       Lin-Lin
 5.45077     9.29909      Lin-Lin
 5.92876     9.29844      Lin-Lin
 6.53964     9.29762      Lin-Lin
 7.21347     9.29674      Lin-Lin
 7.95672     9.29578      Lin-Lin
 8.96272     9.2945       Lin-Lin
 9.95595     9.29326      Lin-Lin
 10.829      9.29217      Lin-Lin
 11.7786     9.29101      Lin-Lin
 12.9012     9.28963      Lin-Lin
 14.2305     9.28802      Lin-Lin
 15.4784     9.28651      Lin-Lin
 16.6016     9.28516      Lin-Lin
 18.1848     9.28326      Lin-Lin
 19.918      9.28119      Lin-Lin
 21.6646     9.27911      Lin-Lin
 23.5644     9.27686      Lin-Lin
 25.8116     9.2742       Lin-Lin
