#E,eV        Sig,b        Interpolation
 1E-05       44.5649      Lin-Lin
 1.10304E-05 42.4445      Lin-Lin
 1.21669E-05 40.4262      Lin-Lin
 1.34206E-05 38.5051      Lin-Lin
 1.48034E-05 36.6766      Lin-Lin
 1.63286E-05 34.9363      Lin-Lin
 1.80111E-05 33.2801      Lin-Lin
 1.98669E-05 31.7038      Lin-Lin
 2.19139E-05 30.2037      Lin-Lin
 2.41719E-05 28.7763      Lin-Lin
 2.66625E-05 27.4181      Lin-Lin
 2.94097E-05 26.1258      Lin-Lin
 3.244E-05   24.8963      Lin-Lin
 3.57825E-05 23.7266      Lin-Lin
 3.94694E-05 22.614       Lin-Lin
 4.35362E-05 21.5557      Lin-Lin
 4.80221E-05 20.5493      Lin-Lin
 5.29701E-05 19.594       Lin-Lin
 5.32208E-05 19.5488      Lin-Lin
 5.8428E-05  18.6863      Lin-Lin
 5.91186E-05 18.5793      Lin-Lin
 6.44482E-05 17.8227      Lin-Lin
 6.56668E-05 17.6611      Lin-Lin
 7.10888E-05 17.0015      Lin-Lin
 7.29439E-05 16.7908      Lin-Lin
 7.84136E-05 16.2206      Lin-Lin
 8.10233E-05 15.9667      Lin-Lin
 8.64931E-05 15.4783      Lin-Lin
 9.00022E-05 15.186       Lin-Lin
 9.54051E-05 14.7727      Lin-Lin
 9.99711E-05 14.4471      Lin-Lin
 0.000105235 14.1022      Lin-Lin
 0.00011105  13.7473      Lin-Lin
 0.000116078 13.4653      Lin-Lin
 0.00012335  13.0855      Lin-Lin
 0.000128039 12.8604      Lin-Lin
 0.00013702  12.4592      Lin-Lin
 0.000141232 12.2861      Lin-Lin
 0.000152196 11.8672      Lin-Lin
 0.000155784 11.741       Lin-Lin
 0.000169063 11.3072      Lin-Lin
 0.000171835 11.2239      Lin-Lin
 0.000187788 10.7785      Lin-Lin
 0.00018954  10.7334      Lin-Lin
 0.000208599 10.2788      Lin-Lin
 0.00020907  10.2684      Lin-Lin
 0.000230612 9.82952      Lin-Lin
 0.000231703 9.80879      Lin-Lin
 0.000254374 9.41561      Lin-Lin
 0.000259183 9.33792      Lin-Lin
 0.000280584 9.02296      Lin-Lin
 0.000284542 8.96877      Lin-Lin
 0.000289922 8.89512      Lin-Lin
 0.000309494 8.65078      Lin-Lin
 0.000318288 8.54879      Lin-Lin
 0.000324306 8.479        Lin-Lin
 0.000341383 8.29824      Lin-Lin
 0.000356037 8.15435      Lin-Lin
 0.000362769 8.08825      Lin-Lin
 0.000376558 7.96453      Lin-Lin
 0.000398262 7.78415      Lin-Lin
 0.000405792 7.72158      Lin-Lin
 0.000415358 7.64887      Lin-Lin
 0.000445496 7.437        Lin-Lin
 0.000453919 7.37778      Lin-Lin
 0.000458155 7.35059      Lin-Lin
 0.000498331 7.11246      Lin-Lin
 0.000505362 7.07079      Lin-Lin
 0.000511335 7.03793      Lin-Lin
 0.000557433 6.80831      Lin-Lin
 0.000575985 6.7227       Lin-Lin
 0.000614869 6.55998      Lin-Lin
 0.000623544 6.52642      Lin-Lin
 0.000648842 6.42856      Lin-Lin
 0.000678223 6.32555      Lin-Lin
 0.000707336 6.23145      Lin-Lin
 0.000736033 6.13868      Lin-Lin
 0.000748105 6.10332      Lin-Lin
 0.000802387 5.95711      Lin-Lin
 0.000825188 5.8957       Lin-Lin
 0.000834941 5.87142      Lin-Lin
 0.000910213 5.70293      Lin-Lin
 0.000953775 5.61308      Lin-Lin
 0.001004    5.51984      Lin-Lin
 0.00103253  5.4712       Lin-Lin
 0.00108958  5.37395      Lin-Lin
 0.00110745  5.34648      Lin-Lin
 0.0011878   5.23347      Lin-Lin
 0.00122155  5.18601      Lin-Lin
 0.00125343  5.14479      Lin-Lin
 0.00134742  5.03615      Lin-Lin
 0.00136643  5.01603      Lin-Lin
 0.00145203  4.92545      Lin-Lin
 0.00148625  4.89301      Lin-Lin
 0.0015941   4.7999       Lin-Lin
 0.00163939  4.76079      Lin-Lin
 0.00169396  4.71765      Lin-Lin
 0.00180831  4.63738      Lin-Lin
 0.0018597   4.60454      Lin-Lin
 0.00199463  4.5183       Lin-Lin
 0.00200407  4.51278      Lin-Lin
 0.00220016  4.41168      Lin-Lin
 0.00238769  4.32375      Lin-Lin
 0.00242685  4.30744      Lin-Lin
 0.00263967  4.22742      Lin-Lin
 0.00267691  4.21341      Lin-Lin
 0.00288473  4.14251      Lin-Lin
 0.00295273  4.12201      Lin-Lin
 0.00321166  4.05173      Lin-Lin
 0.00325697  4.03944      Lin-Lin
 0.00355934  3.96523      Lin-Lin
 0.00359256  3.95804      Lin-Lin
 0.00396272  3.88623      Lin-Lin
 0.00437103  3.81493      Lin-Lin
 0.00448509  3.79692      Lin-Lin
 0.00482141  3.75065      Lin-Lin
 0.00502836  3.72516      Lin-Lin
 0.00531819  3.68946      Lin-Lin
 0.00581192  3.6348       Lin-Lin
 0.00586616  3.62953      Lin-Lin
 0.00647059  3.57737      Lin-Lin
 0.00656188  3.57034      Lin-Lin
 0.0071373   3.52601      Lin-Lin
 0.00779992  3.48028      Lin-Lin
 0.00787271  3.47589      Lin-Lin
 0.00868389  3.43258      Lin-Lin
 0.00893064  3.42088      Lin-Lin
 0.00957865  3.39015      Lin-Lin
 0.0105656   3.34842      Lin-Lin
 0.0109943   3.33221      Lin-Lin
 0.0116543   3.31066      Lin-Lin
 0.0128551   3.27608      Lin-Lin
 0.0141796   3.24232      Lin-Lin
 0.0156406   3.20925      Lin-Lin
 0.0166204   3.1895       Lin-Lin
 0.0172522   3.1784       Lin-Lin
 0.0190298   3.15094      Lin-Lin
 0.0201267   3.13602      Lin-Lin
 0.0209906   3.12427      Lin-Lin
 0.0231534   3.09828      Lin-Lin
 0.0251255   3.07713      Lin-Lin
 0.0251838   3.07655      Lin-Lin
 0.0252419   3.07597      Lin-Lin
 0.0253      3.07542      Lin-Lin
 0.0279068   3.05393      Lin-Lin
 0.0307823   3.03319      Lin-Lin
 0.033954    3.01315      Lin-Lin
 0.0374525   2.99374      Lin-Lin
 0.0413115   2.97491      Lin-Lin
 0.0455681   2.95659      Lin-Lin
 0.0488745   2.94399      Lin-Lin
 0.0502633   2.93946      Lin-Lin
 0.0554423   2.92478      Lin-Lin
 0.0611549   2.91069      Lin-Lin
 0.0674561   2.89715      Lin-Lin
 0.0744066   2.88415      Lin-Lin
 0.0820732   2.87164      Lin-Lin
 0.0905297   2.8596       Lin-Lin
 0.0998577   2.84797      Lin-Lin
 0.110147    2.83669      Lin-Lin
 0.121496    2.82575      Lin-Lin
 0.13215     2.81668      Lin-Lin
 0.134014    2.81533      Lin-Lin
 0.147823    2.80665      Lin-Lin
 0.163054    2.79838      Lin-Lin
 0.179855    2.7905       Lin-Lin
 0.198386    2.783        Lin-Lin
 0.218827    2.77584      Lin-Lin
 0.241375    2.76898      Lin-Lin
 0.266245    2.76242      Lin-Lin
 0.293678    2.75616      Lin-Lin
 0.323938    2.75017      Lin-Lin
 0.357316    2.74445      Lin-Lin
 0.394132    2.73899      Lin-Lin
 0.434743    2.73373      Lin-Lin
 0.479537    2.72868      Lin-Lin
 0.528947    2.72383      Lin-Lin
 0.583448    2.71917      Lin-Lin
 0.643565    2.71468      Lin-Lin
