#E,eV        Sig,b        Interpolation
 1E-05       222.871      Lin-Lin
 1.10304E-05 212.273      Lin-Lin
 1.21669E-05 202.184      Lin-Lin
 1.34206E-05 192.582      Lin-Lin
 1.48034E-05 183.443      Lin-Lin
 1.63286E-05 174.745      Lin-Lin
 1.80111E-05 166.467      Lin-Lin
 1.98669E-05 158.59       Lin-Lin
 2.19139E-05 151.093      Lin-Lin
 2.41719E-05 143.96       Lin-Lin
 2.66625E-05 137.18       Lin-Lin
 2.67422E-05 136.98       Lin-Lin
 2.94097E-05 130.722      Lin-Lin
 2.94977E-05 130.532      Lin-Lin
 3.244E-05   124.579      Lin-Lin
 3.2537E-05  124.398      Lin-Lin
 3.57825E-05 118.747      Lin-Lin
 3.61409E-05 118.174      Lin-Lin
 3.94694E-05 113.198      Lin-Lin
 4.0146E-05  112.269      Lin-Lin
 4.35362E-05 107.917      Lin-Lin
 4.45927E-05 106.673      Lin-Lin
 4.80221E-05 102.894      Lin-Lin
 4.95344E-05 101.365      Lin-Lin
 5.29701E-05 98.1159      Lin-Lin
 5.5021E-05  96.3373      Lin-Lin
 5.8428E-05  93.5716      Lin-Lin
 6.11183E-05 91.57        Lin-Lin
 6.44482E-05 89.2503      Lin-Lin
 6.78879E-05 87.0552      Lin-Lin
 7.10888E-05 85.1419      Lin-Lin
 7.54111E-05 82.7764      Lin-Lin
 7.84136E-05 81.2366      Lin-Lin
 8.37639E-05 78.7258      Lin-Lin
 8.64931E-05 77.5252      Lin-Lin
 9.30465E-05 74.8887      Lin-Lin
 9.54051E-05 73.9988      Lin-Lin
 0.000103353 71.2582      Lin-Lin
 0.000105235 70.649       Lin-Lin
 0.000114806 67.8208      Lin-Lin
 0.000116078 67.4678      Lin-Lin
 0.000127522 64.5704      Lin-Lin
 0.000128039 64.4475      Lin-Lin
 0.000141232 61.5865      Lin-Lin
 0.000141654 61.5024      Lin-Lin
 0.000155784 58.8784      Lin-Lin
 0.000157344 58.6129      Lin-Lin
 0.000171835 56.309       Lin-Lin
 0.000174781 55.8803      Lin-Lin
 0.00018954  53.8764      Lin-Lin
 0.000195509 53.1352      Lin-Lin
 0.00020907  51.5666      Lin-Lin
 0.000218696 50.5495      Lin-Lin
 0.000230612 49.3755      Lin-Lin
 0.000244634 48.1152      Lin-Lin
 0.000254374 47.298       Lin-Lin
 0.000273647 45.8248      Lin-Lin
 0.000280584 45.3293      Lin-Lin
 0.000306101 43.671       Lin-Lin
 0.000309494 43.4651      Lin-Lin
 0.000341383 41.7076      Lin-Lin
 0.000344803 41.5355      Lin-Lin
 0.000376558 40.0546      Lin-Lin
 0.000388417 39.5507      Lin-Lin
 0.000415358 38.4878      Lin-Lin
 0.000437526 37.6924      Lin-Lin
 0.000458155 37.0052      Lin-Lin
 0.000496321 35.8516      Lin-Lin
 0.000505362 35.5978      Lin-Lin
 0.000557433 34.2746      Lin-Lin
