#E,eV        Sig,b        Interpolation
 1E-05       29.8423      Lin-Lin
 1.10304E-05 28.4216      Lin-Lin
 1.21669E-05 27.0693      Lin-Lin
 1.34206E-05 25.7821      Lin-Lin
 1.48034E-05 24.5569      Lin-Lin
 1.63286E-05 23.3907      Lin-Lin
 1.80111E-05 22.2807      Lin-Lin
 1.98669E-05 21.2244      Lin-Lin
 2.19139E-05 20.219       Lin-Lin
 2.41719E-05 19.2623      Lin-Lin
 2.66625E-05 18.3519      Lin-Lin
 2.94097E-05 17.4857      Lin-Lin
 3.244E-05   16.6614      Lin-Lin
 3.57825E-05 15.8773      Lin-Lin
 3.94694E-05 15.1313      Lin-Lin
 4.35362E-05 14.4216      Lin-Lin
 4.80221E-05 13.7467      Lin-Lin
 5.29701E-05 13.1048      Lin-Lin
 5.8428E-05  12.4943      Lin-Lin
 6.44482E-05 11.9139      Lin-Lin
 7.10888E-05 11.3642      Lin-Lin
 7.15903E-05 11.3245      Lin-Lin
 7.84136E-05 10.8412      Lin-Lin
 7.95199E-05 10.7664      Lin-Lin
 8.64931E-05 10.3439      Lin-Lin
 8.83321E-05 10.2375      Lin-Lin
 9.54051E-05 9.871        Lin-Lin
 9.8116E-05  9.73687      Lin-Lin
 0.000105235 9.42146      Lin-Lin
 0.000108989 9.26274      Lin-Lin
 0.000116078 8.99424      Lin-Lin
 0.000121061 8.81421      Lin-Lin
 0.000128039 8.58833      Lin-Lin
 0.000134477 8.38962      Lin-Lin
 0.000141232 8.20279      Lin-Lin
 0.000149372 7.98821      Lin-Lin
 0.000155784 7.83672      Lin-Lin
 0.000165925 7.60849      Lin-Lin
 0.000171835 7.48925      Lin-Lin
 0.000184303 7.24976      Lin-Lin
 0.00018954  7.15957      Lin-Lin
 0.000204728 6.91069      Lin-Lin
 0.00020907  6.84687      Lin-Lin
 0.000227404 6.59066      Lin-Lin
 0.000230612 6.55044      Lin-Lin
 0.000252604 6.28845      Lin-Lin
 0.000254374 6.26954      Lin-Lin
 0.000280584 6.00352      Lin-Lin
 0.000309494 5.75363      Lin-Lin
 0.000311677 5.73563      Lin-Lin
 0.000341383 5.5171       Lin-Lin
 0.000346199 5.48334      Lin-Lin
 0.000376558 5.29408      Lin-Lin
 0.000387258 5.23056      Lin-Lin
 0.000415358 5.08275      Lin-Lin
 0.000433187 4.99355      Lin-Lin
 0.000458155 4.8828       Lin-Lin
 0.000484562 4.77153      Lin-Lin
 0.000505362 4.69378      Lin-Lin
 0.000542031 4.56374      Lin-Lin
 0.000557433 4.51533      Lin-Lin
 0.000608162 4.3643       Lin-Lin
 0.000614869 4.34665      Lin-Lin
 0.000678223 4.18902      Lin-Lin
 0.000685088 4.17279      Lin-Lin
 0.000748105 4.04213      Lin-Lin
 0.000771707 3.99571      Lin-Lin
 0.000825188 3.90337      Lin-Lin
 0.000869319 3.83123      Lin-Lin
 0.000910213 3.7727       Lin-Lin
 0.000986139 3.67004      Lin-Lin
 0.001004    3.64893      Lin-Lin
 0.00110745  3.53375      Lin-Lin
 0.00111866  3.52193      Lin-Lin
 0.00122155  3.42797      Lin-Lin
 0.00127787  3.37943      Lin-Lin
 0.00134742  3.32754      Lin-Lin
 0.00145982  3.24865      Lin-Lin
 0.00148625  3.23259      Lin-Lin
 0.00163939  3.14538      Lin-Lin
 0.00167935  3.12394      Lin-Lin
 0.00180831  3.06475      Lin-Lin
 0.00194543  3.00571      Lin-Lin
 0.00199463  2.9876       Lin-Lin
 0.00220016  2.91699      Lin-Lin
 0.00226957  2.89461      Lin-Lin
 0.00242685  2.85168      Lin-Lin
 0.00266639  2.79067      Lin-Lin
 0.00267691  2.78839      Lin-Lin
 0.00295273  2.73304      Lin-Lin
 0.00315453  2.69529      Lin-Lin
 0.00325697  2.67915      Lin-Lin
 0.00359256  2.63021      Lin-Lin
 0.00378469  2.60414      Lin-Lin
 0.00396272  2.58397      Lin-Lin
 0.00437103  2.5413       Lin-Lin
 0.0046048   2.51863      Lin-Lin
 0.00482141  2.50123      Lin-Lin
 0.00531819  2.46457      Lin-Lin
 0.00572145  2.43707      Lin-Lin
 0.00586616  2.42896      Lin-Lin
 0.00647059  2.39799      Lin-Lin
 0.0071373   2.36663      Lin-Lin
 0.00731126  2.35907      Lin-Lin
 0.00787271  2.33937      Lin-Lin
 0.00868389  2.31344      Lin-Lin
 0.00957865  2.28724      Lin-Lin
 0.00960783  2.28646      Lin-Lin
 0.0105656   2.26588      Lin-Lin
 0.0116543   2.24467      Lin-Lin
 0.0128551   2.22336      Lin-Lin
 0.0131684   2.21827      Lin-Lin
 0.0141796   2.20528      Lin-Lin
 0.0156406   2.18841      Lin-Lin
 0.0172522   2.17159      Lin-Lin
 0.0190298   2.15474      Lin-Lin
 0.0192224   2.15308      Lin-Lin
 0.0209906   2.14068      Lin-Lin
 0.0231534   2.12706      Lin-Lin
 0.0252419   2.11513      Lin-Lin
 0.0252802   2.11492      Lin-Lin
 0.0253      2.11482      Lin-Lin
 0.0279068   2.10387      Lin-Lin
 0.0307823   2.09313      Lin-Lin
 0.033954    2.08256      Lin-Lin
 0.0374525   2.07212      Lin-Lin
 0.0413115   2.06177      Lin-Lin
 0.0433887   2.05673      Lin-Lin
 0.0455681   2.05269      Lin-Lin
 0.0502633   2.04501      Lin-Lin
 0.0554423   2.03755      Lin-Lin
 0.0611549   2.03028      Lin-Lin
 0.0674561   2.02316      Lin-Lin
 0.0744066   2.01618      Lin-Lin
 0.0820732   2.0093       Lin-Lin
 0.0905297   2.00249      Lin-Lin
 0.0998577   1.99748      Lin-Lin
 0.110147    1.99266      Lin-Lin
 0.121496    1.98802      Lin-Lin
 0.134014    1.98354      Lin-Lin
 0.147823    1.97922      Lin-Lin
 0.163054    1.97504      Lin-Lin
 0.179855    1.97099      Lin-Lin
 0.198386    1.96704      Lin-Lin
 0.218827    1.9632       Lin-Lin
 0.241375    1.95943      Lin-Lin
 0.266245    1.95574      Lin-Lin
 0.293678    1.9521       Lin-Lin
 0.323938    1.94947      Lin-Lin
 0.357316    1.94697      Lin-Lin
 0.394132    1.94458      Lin-Lin
 0.434743    1.94231      Lin-Lin
 0.479537    1.94014      Lin-Lin
 0.528947    1.93807      Lin-Lin
 0.583448    1.9361       Lin-Lin
 0.643565    1.93422      Lin-Lin
 0.709876    1.93243      Lin-Lin
 0.78302     1.93072      Lin-Lin
 0.8637      1.92908      Lin-Lin
 0.952693    1.92752      Lin-Lin
 1.05086     1.92603      Lin-Lin
 1.15913     1.9246       Lin-Lin
 1.27857     1.92324      Lin-Lin
 1.4103      1.92193      Lin-Lin
 1.55562     1.92068      Lin-Lin
 1.7159      1.91948      Lin-Lin
 1.89271     1.91833      Lin-Lin
 2.08772     1.91722      Lin-Lin
 2.30284     1.91615      Lin-Lin
 2.54012     1.91512      Lin-Lin
 2.80184     1.91413      Lin-Lin
 3.09053     1.91317      Lin-Lin
 3.40897     1.91223      Lin-Lin
 3.76022     1.91132      Lin-Lin
 4.14767     1.91044      Lin-Lin
 4.57503     1.90957      Lin-Lin
 5.04642     1.90872      Lin-Lin
 5.56639     1.90788      Lin-Lin
 6.13994     1.90705      Lin-Lin
 6.77258     1.90622      Lin-Lin
 7.4704      1.9054       Lin-Lin
 7.5758      1.90529      Lin-Lin
 8.18281     1.90487      Lin-Lin
 9.02594     1.90436      Lin-Lin
 9.95595     1.90388      Lin-Lin
 10.9818     1.90342      Lin-Lin
 12.1133     1.90298      Lin-Lin
 13.3614     1.90255      Lin-Lin
 14.7382     1.90215      Lin-Lin
 16.1429     1.90179      Lin-Lin
 17.8062     1.90141      Lin-Lin
 19.6409     1.90106      Lin-Lin
 21.6646     1.90071      Lin-Lin
 23.8968     1.90038      Lin-Lin
 26.3591     1.90006      Lin-Lin
 29.0751     1.89975      Lin-Lin
 32.0709     1.89945      Lin-Lin
 35.3753     1.89916      Lin-Lin
 39.0203     1.89888      Lin-Lin
 43.0409     1.8986       Lin-Lin
 47.4757     1.89833      Lin-Lin
 52.3674     1.89807      Lin-Lin
 57.3614     1.89782      Lin-Lin
 63.2717     1.89756      Lin-Lin
 69.791      1.8973       Lin-Lin
 76.9821     1.89705      Lin-Lin
 84.9141     1.89679      Lin-Lin
 93.6634     1.89653      Lin-Lin
 103.314     1.89626      Lin-Lin
 113.161     1.89601      Lin-Lin
 124.821     1.89574      Lin-Lin
 137.682     1.89545      Lin-Lin
 151.868     1.89516      Lin-Lin
 167.516     1.89486      Lin-Lin
 184.777     1.89453      Lin-Lin
 203.816     1.8942       Lin-Lin
 224.816     1.89384      Lin-Lin
 247.981     1.89347      Lin-Lin
 273.532     1.89306      Lin-Lin
 301.716     1.89263      Lin-Lin
 332.803     1.89217      Lin-Lin
 367.095     1.89168      Lin-Lin
 404.919     1.89114      Lin-Lin
 446.64      1.89056      Lin-Lin
 492.661     1.88993      Lin-Lin
 543.423     1.88925      Lin-Lin
 599.416     1.88851      Lin-Lin
 656.579     1.88775      Lin-Lin
 723.649     1.88688      Lin-Lin
 796.014     1.88595      Lin-Lin
 878.441     1.88489      Lin-Lin
 968.483     1.88374      Lin-Lin
 1066.92     1.8825       Lin-Lin
 1181.89     1.88105      Lin-Lin
 1300.07     1.87957      Lin-Lin
 1430.08     1.87794      Lin-Lin
 1577.55     1.8761       Lin-Lin
 1742.14     1.87406      Lin-Lin
 1928.02     1.87176      Lin-Lin
 2132.31     1.86923      Lin-Lin
 2345.54     1.8666       Lin-Lin
 2586.65     1.86363      Lin-Lin
 2862.49     1.86023      Lin-Lin
 3151.77     1.85668      Lin-Lin
 3458.33     1.85291      Lin-Lin
 3804.16     1.84867      Lin-Lin
 4213.89     1.84364      Lin-Lin
 4635.28     1.83848      Lin-Lin
 5098.81     1.8328       Lin-Lin
 5608.69     1.82656      Lin-Lin
 6213.08     1.81917      Lin-Lin
 6818.15     1.81176      Lin-Lin
 7516.98     1.80322      Lin-Lin
 8287.5      1.7938       Lin-Lin
 9136.91     1.78342      Lin-Lin
 10073.4     1.77198      Lin-Lin
 11160.7     1.75869      Lin-Lin
 12348       1.74419      Lin-Lin
 13595       1.72896      Lin-Lin
 14942.1     1.71251      Lin-Lin
 16312.9     1.69577      Lin-Lin
 16527.1     1.69316      Lin-Lin
 16600.7     1.69226      Lin-Lin
 16643.4     1.69174      Lin-Lin
 16670.7     1.69141      Lin-Lin
 16686.6     1.69122      Lin-Lin
 16699.9     1.69106      Lin-Lin
 16707.9     1.69097      Lin-Lin
 16714.4     1.69089      Lin-Lin
 16718.7     1.69084      Lin-Lin
 16723.1     1.69079      Lin-Lin
 16726.5     1.69076      Lin-Lin
 16729       1.69073      Lin-Lin
 16731.5     1.69071      Lin-Lin
