#E,eV        Sig,b        Interpolation
 1E-05       36.4073      Lin-Lin
 1.10304E-05 34.6692      Lin-Lin
 1.21669E-05 33.0144      Lin-Lin
 1.34206E-05 31.439       Lin-Lin
 1.48034E-05 29.9392      Lin-Lin
 1.63286E-05 28.5114      Lin-Lin
 1.80111E-05 27.1521      Lin-Lin
 1.98669E-05 25.8582      Lin-Lin
 2.19139E-05 24.6264      Lin-Lin
 2.41719E-05 23.4539      Lin-Lin
 2.66625E-05 22.3377      Lin-Lin
 2.94097E-05 21.2753      Lin-Lin
 3.244E-05   20.264       Lin-Lin
 3.57825E-05 19.3014      Lin-Lin
 3.94694E-05 18.3853      Lin-Lin
 4.35362E-05 17.5133      Lin-Lin
 4.80221E-05 16.6835      Lin-Lin
 5.29701E-05 15.8938      Lin-Lin
 5.8428E-05  15.1422      Lin-Lin
 6.44482E-05 14.4275      Lin-Lin
 6.46035E-05 14.4109      Lin-Lin
 7.10888E-05 13.7479      Lin-Lin
 7.17628E-05 13.686       Lin-Lin
 7.84136E-05 13.1012      Lin-Lin
 7.97114E-05 12.9987      Lin-Lin
 8.64931E-05 12.4857      Lin-Lin
 8.85449E-05 12.3464      Lin-Lin
 9.54051E-05 11.9001      Lin-Lin
 9.83524E-05 11.728       Lin-Lin
 0.000105235 11.3429      Lin-Lin
 0.000109252 11.1413      Lin-Lin
 0.000116078 10.8128      Lin-Lin
 0.000121353 10.5852      Lin-Lin
 0.000128039 10.3086      Lin-Lin
 0.000134801 10.0578      Lin-Lin
 0.000141232 9.82901      Lin-Lin
 0.000149732 9.55805      Lin-Lin
 0.000155784 9.37294      Lin-Lin
 0.000166325 9.08417      Lin-Lin
 0.000171835 8.93928      Lin-Lin
 0.000184747 8.63534      Lin-Lin
 0.00018954  8.527        Lin-Lin
 0.000205221 8.20988      Lin-Lin
 0.00020907  8.1351       Lin-Lin
 0.000227952 7.80708      Lin-Lin
 0.000230612 7.76266      Lin-Lin
 0.000253213 7.42541      Lin-Lin
 0.000254374 7.40876      Lin-Lin
 0.000280584 7.07289      Lin-Lin
 0.00028126  7.06512      Lin-Lin
 0.000309494 6.75445      Lin-Lin
 0.000312429 6.72551      Lin-Lin
 0.000341383 6.45238      Lin-Lin
 0.000349482 6.38395      Lin-Lin
 0.000376558 6.1653       Lin-Lin
 0.00039093  6.06146      Lin-Lin
 0.000415358 5.89261      Lin-Lin
 0.000437294 5.75708      Lin-Lin
 0.000458155 5.63367      Lin-Lin
 0.000489157 5.4699       Lin-Lin
 0.000505362 5.38785      Lin-Lin
 0.00054717  5.19905      Lin-Lin
 0.000557433 5.15464      Lin-Lin
 0.000614869 4.93323      Lin-Lin
 0.00061635  4.92812      Lin-Lin
 0.000678223 4.7248       Lin-Lin
