#E,eV        Sig,b        Interpolation
 1E-05       934.653      Lin-Lin
 1.10304E-05 890.237      Lin-Lin
 1.21669E-05 847.96       Lin-Lin
 1.34206E-05 807.723      Lin-Lin
 1.48034E-05 769.429      Lin-Lin
 1.63286E-05 732.984      Lin-Lin
 1.80111E-05 698.302      Lin-Lin
 1.98669E-05 665.299      Lin-Lin
 2.19139E-05 633.895      Lin-Lin
 2.41719E-05 604.016      Lin-Lin
 2.66625E-05 575.589      Lin-Lin
 2.94097E-05 548.545      Lin-Lin
 3.244E-05   522.821      Lin-Lin
 3.57825E-05 498.353      Lin-Lin
 3.94694E-05 475.083      Lin-Lin
 4.35362E-05 452.955      Lin-Lin
 4.80221E-05 431.915      Lin-Lin
 5.29701E-05 411.913      Lin-Lin
 5.8428E-05  392.974      Lin-Lin
 5.88402E-05 391.6        Lin-Lin
 6.44482E-05 374.96       Lin-Lin
 6.53575E-05 372.37       Lin-Lin
 7.10888E-05 357.831      Lin-Lin
 7.26003E-05 354.152      Lin-Lin
 7.84136E-05 341.547      Lin-Lin
 8.06417E-05 336.913      Lin-Lin
 8.64931E-05 326.071      Lin-Lin
 8.95783E-05 320.59       Lin-Lin
 9.54051E-05 311.366      Lin-Lin
 9.95003E-05 305.153      Lin-Lin
 0.000105235 297.399      Lin-Lin
 0.000110527 290.545      Lin-Lin
 0.000116078 284.135      Lin-Lin
 0.000122769 276.74       Lin-Lin
 0.000128039 271.546      Lin-Lin
 0.000136374 263.685      Lin-Lin
 0.000141232 259.601      Lin-Lin
 0.000151479 251.358      Lin-Lin
 0.000155784 248.271      Lin-Lin
 0.000168266 239.712      Lin-Lin
 0.000171835 237.53       Lin-Lin
 0.000186904 228.726      Lin-Lin
 0.00018954  227.352      Lin-Lin
 0.000207616 218.358      Lin-Lin
 0.00020907  217.712      Lin-Lin
 0.000230612 208.588      Lin-Lin
 0.000254374 200.026      Lin-Lin
 0.000256168 199.406      Lin-Lin
 0.000280584 191.926      Lin-Lin
 0.000284542 190.765      Lin-Lin
 0.000309494 184.296      Lin-Lin
 0.000318288 182.115      Lin-Lin
 0.000341383 177.07       Lin-Lin
 0.000356037 174.012      Lin-Lin
 0.000376558 170.239      Lin-Lin
 0.000398262 166.43       Lin-Lin
 0.000415358 163.786      Lin-Lin
 0.000445496 159.343      Lin-Lin
 0.000458155 157.697      Lin-Lin
 0.000498331 152.725      Lin-Lin
 0.000505362 151.96       Lin-Lin
 0.000557433 146.578      Lin-Lin
 0.000561365 146.19       Lin-Lin
 0.000614869 141.593      Lin-Lin
 0.000632341 140.162      Lin-Lin
 0.000678223 136.888      Lin-Lin
 0.000712325 134.573      Lin-Lin
 0.000748105 132.462      Lin-Lin
 0.000808048 129.106      Lin-Lin
 0.000825188 128.274      Lin-Lin
 0.000910213 124.366      Lin-Lin
 0.000916633 124.086      Lin-Lin
 0.001004    120.805      Lin-Lin
 0.00104709  119.27       Lin-Lin
 0.00110745  117.426      Lin-Lin
 0.00119618  114.862      Lin-Lin
 0.00122155  114.233      Lin-Lin
 0.00134742  111.296      Lin-Lin
 0.00137607  110.663      Lin-Lin
 0.00148625  108.6        Lin-Lin
 0.0015941   106.697      Lin-Lin
 0.00163939  106.02       Lin-Lin
 0.00180831  103.655      Lin-Lin
 0.0018597   102.976      Lin-Lin
 0.00199463  101.483      Lin-Lin
 0.00218485  99.5098      Lin-Lin
 0.00220016  99.3769      Lin-Lin
 0.00242685  97.5424      Lin-Lin
 0.00260294  96.2079      Lin-Lin
 0.00267691  95.7441      Lin-Lin
 0.00295273  94.137       Lin-Lin
 0.00314495  93.0907      Lin-Lin
 0.00325697  92.5903      Lin-Lin
 0.00359256  91.2021      Lin-Lin
 0.00385323  90.1981      Lin-Lin
 0.00396272  89.8543      Lin-Lin
 0.00437103  88.6728      Lin-Lin
 0.00482141  87.4654      Lin-Lin
 0.00531819  86.4766      Lin-Lin
 0.00586616  85.4728      Lin-Lin
 0.00620428  84.8996      Lin-Lin
 0.00647059  84.5405      Lin-Lin
 0.0071373   83.7203      Lin-Lin
 0.00787271  82.8906      Lin-Lin
 0.00826856  82.4788      Lin-Lin
 0.00868389  82.1402      Lin-Lin
 0.00957865  81.4787      Lin-Lin
 0.0105656   80.8137      Lin-Lin
 0.0115732   80.1918      Lin-Lin
 0.0116543   80.1528      Lin-Lin
 0.0128551   79.633       Lin-Lin
 0.0141796   79.1155      Lin-Lin
 0.0156406   78.5978      Lin-Lin
 0.0172522   78.0775      Lin-Lin
 0.0190298   77.6718      Lin-Lin
 0.0209906   77.2703      Lin-Lin
 0.0231534   76.8712      Lin-Lin
 0.0252419   76.5203      Lin-Lin
 0.0253      76.512       Lin-Lin
 0.0279068   76.2068      Lin-Lin
 0.0307823   75.9081      Lin-Lin
 0.033954    75.6145      Lin-Lin
