#E,eV        Sig,b        Interpolation
 1E-05       39.0588      Lin-Lin
 1.10304E-05 37.1927      Lin-Lin
 1.21669E-05 35.4162      Lin-Lin
 1.34206E-05 33.7248      Lin-Lin
 1.48034E-05 32.1144      Lin-Lin
 1.63286E-05 30.5814      Lin-Lin
 1.80111E-05 29.1218      Lin-Lin
 1.98669E-05 27.7323      Lin-Lin
 2.19139E-05 26.4095      Lin-Lin
 2.41719E-05 25.1501      Lin-Lin
 2.66625E-05 23.9513      Lin-Lin
 2.94097E-05 22.81        Lin-Lin
 3.244E-05   21.7236      Lin-Lin
 3.57825E-05 20.6895      Lin-Lin
 3.94694E-05 19.7051      Lin-Lin
 4.35362E-05 18.768       Lin-Lin
 4.80221E-05 17.8761      Lin-Lin
 5.29701E-05 17.0278      Lin-Lin
 5.33438E-05 16.9713      Lin-Lin
 5.8428E-05  16.2203      Lin-Lin
 5.92523E-05 16.1128      Lin-Lin
 6.44482E-05 15.4517      Lin-Lin
 6.58185E-05 15.2978      Lin-Lin
 7.10888E-05 14.7201      Lin-Lin
 7.31088E-05 14.5247      Lin-Lin
 7.84136E-05 14.0237      Lin-Lin
 8.12106E-05 13.7907      Lin-Lin
 8.64931E-05 13.3609      Lin-Lin
 9.02058E-05 13.0946      Lin-Lin
 9.54051E-05 12.7302      Lin-Lin
 0.000100202 12.4338      Lin-Lin
 0.000105235 12.13        Lin-Lin
 0.000111301 11.8073      Lin-Lin
 0.000116078 11.5589      Lin-Lin
 0.000123635 11.2127      Lin-Lin
 0.000128039 11.0155      Lin-Lin
 0.000137329 10.6489      Lin-Lin
 0.000141232 10.4984      Lin-Lin
 0.000152548 10.1141      Lin-Lin
 0.000155784 10.0066      Lin-Lin
 0.000169444 9.60713      Lin-Lin
 0.000171835 9.53876      Lin-Lin
 0.000188222 9.12624      Lin-Lin
 0.00018954  9.09377      Lin-Lin
 0.00020907  8.67057      Lin-Lin
 0.000230612 8.26878      Lin-Lin
 0.000232239 8.24202      Lin-Lin
 0.000254374 7.88697      Lin-Lin
 0.000259782 7.81052      Lin-Lin
 0.000280584 7.52379      Lin-Lin
 0.000290592 7.40229      Lin-Lin
 0.000309494 7.1784       Lin-Lin
 0.000325056 7.01617      Lin-Lin
 0.000341383 6.85         Lin-Lin
 0.000363607 6.65104      Lin-Lin
 0.000376558 6.53779      Lin-Lin
 0.00040673  6.30585      Lin-Lin
 0.000415358 6.24103      Lin-Lin
 0.000454968 5.97959      Lin-Lin
 0.000458155 5.95903      Lin-Lin
 0.000505362 5.69171      Lin-Lin
 0.000512492 5.65619      Lin-Lin
 0.000557433 5.438        Lin-Lin
 0.000577316 5.35313      Lin-Lin
 0.000614869 5.19681      Lin-Lin
 0.000650309 5.06724      Lin-Lin
 0.000678223 4.96767      Lin-Lin
 0.000737698 4.78153      Lin-Lin
 0.000748105 4.74973      Lin-Lin
 0.000825188 4.54331      Lin-Lin
 0.00083683  4.51593      Lin-Lin
 0.000910213 4.34786      Lin-Lin
 0.000955979 4.25592      Lin-Lin
 0.001004    4.16188      Lin-Lin
 0.00109204  4.01084      Lin-Lin
 0.00110745  3.98504      Lin-Lin
 0.00122155  3.81788      Lin-Lin
 0.00125627  3.77331      Lin-Lin
 0.00134742  3.65934      Lin-Lin
 0.00145538  3.54122      Lin-Lin
 0.00148625  3.50828      Lin-Lin
 0.00163939  3.36554      Lin-Lin
 0.00169787  3.31783      Lin-Lin
 0.00180831  3.23014      Lin-Lin
 0.00199463  3.10093      Lin-Lin
 0.0020087   3.09239      Lin-Lin
 0.00220016  2.97947      Lin-Lin
 0.00239309  2.88011      Lin-Lin
 0.00242685  2.86316      Lin-Lin
 0.00267691  2.75376      Lin-Lin
 0.0028914   2.67189      Lin-Lin
 0.00295273  2.64908      Lin-Lin
 0.00325697  2.55056      Lin-Lin
 0.00356757  2.46289      Lin-Lin
 0.00359256  2.45601      Lin-Lin
 0.00396272  2.36744      Lin-Lin
 0.00437103  2.28239      Lin-Lin
 0.00449523  2.25984      Lin-Lin
 0.00482141  2.20224      Lin-Lin
 0.00531819  2.12598      Lin-Lin
 0.00582536  2.05823      Lin-Lin
 0.00586616  2.05291      Lin-Lin
 0.00647059  1.98459      Lin-Lin
 0.0071373   1.91911      Lin-Lin
 0.00781795  1.861        Lin-Lin
 0.00787271  1.85644      Lin-Lin
 0.00868389  1.79788      Lin-Lin
 0.00957865  1.74183      Lin-Lin
 0.0105656   1.68813      Lin-Lin
 0.0110191   1.66669      Lin-Lin
 0.0116543   1.63746      Lin-Lin
 0.0128551   1.58958      Lin-Lin
 0.0141796   1.54378      Lin-Lin
 0.0156406   1.49996      Lin-Lin
 0.0166588   1.47344      Lin-Lin
 0.0172522   1.45836      Lin-Lin
 0.0190298   1.41924      Lin-Lin
 0.0209906   1.38187      Lin-Lin
 0.0231534   1.34615      Lin-Lin
 0.0252419   1.31597      Lin-Lin
 0.0253      1.3152       Lin-Lin
 0.0279068   1.28319      Lin-Lin
 0.0307823   1.25264      Lin-Lin
 0.033954    1.22348      Lin-Lin
 0.0374525   1.19564      Lin-Lin
 0.0413115   1.16903      Lin-Lin
 0.0455681   1.1436       Lin-Lin
 0.0488745   1.12647      Lin-Lin
 0.0502633   1.11946      Lin-Lin
 0.0554423   1.09689      Lin-Lin
