#E,eV        Sig,b        Interpolation
 1E-05       78.3601      Lin-Lin
 1.10304E-05 74.6226      Lin-Lin
 1.21669E-05 71.0644      Lin-Lin
 1.34206E-05 67.6771      Lin-Lin
 1.48034E-05 64.4526      Lin-Lin
 1.63286E-05 61.3831      Lin-Lin
 1.80111E-05 58.4612      Lin-Lin
 1.98669E-05 55.6799      Lin-Lin
 2.19139E-05 53.0325      Lin-Lin
 2.41719E-05 50.5126      Lin-Lin
 2.66625E-05 48.1142      Lin-Lin
 2.94097E-05 45.8314      Lin-Lin
 3.244E-05   43.6589      Lin-Lin
 3.57825E-05 41.5914      Lin-Lin
 3.94694E-05 39.6238      Lin-Lin
 4.35362E-05 37.7516      Lin-Lin
 4.80221E-05 35.9701      Lin-Lin
 5.29701E-05 34.2751      Lin-Lin
 5.8428E-05  32.6625      Lin-Lin
 6.44482E-05 31.1285      Lin-Lin
 7.10888E-05 29.6693      Lin-Lin
 7.84136E-05 28.2814      Lin-Lin
 8.64931E-05 26.9615      Lin-Lin
 9.54051E-05 25.7064      Lin-Lin
 0.000105235 24.5131      Lin-Lin
 0.000116078 23.3787      Lin-Lin
 0.000128039 22.3005      Lin-Lin
 0.000141232 21.2759      Lin-Lin
 0.000155784 20.3024      Lin-Lin
 0.000171835 19.3826      Lin-Lin
 0.000173047 19.3131      Lin-Lin
 0.00018954  18.5081      Lin-Lin
 0.000192215 18.3776      Lin-Lin
 0.00020907  17.6769      Lin-Lin
 0.000213515 17.4922      Lin-Lin
 0.000230612 16.8872      Lin-Lin
 0.000237165 16.6554      Lin-Lin
 0.000254374 16.1372      Lin-Lin
 0.000263447 15.8641      Lin-Lin
 0.000280584 15.4252      Lin-Lin
 0.000292627 15.1168      Lin-Lin
 0.000309494 14.7494      Lin-Lin
 0.000325056 14.4106      Lin-Lin
 0.000341383 14.1084      Lin-Lin
 0.00036106  13.7444      Lin-Lin
 0.000376558 13.5007      Lin-Lin
 0.000401072 13.1155      Lin-Lin
 0.000415358 12.9249      Lin-Lin
 0.000445496 12.5228      Lin-Lin
 0.000458155 12.3795      Lin-Lin
 0.000494865 11.9641      Lin-Lin
 0.000505362 11.8634      Lin-Lin
 0.000549678 11.4383      Lin-Lin
 0.000557433 11.3752      Lin-Lin
 0.000610592 10.9433      Lin-Lin
 0.000614869 10.9139      Lin-Lin
 0.000678223 10.4782      Lin-Lin
 0.000748105 10.0719      Lin-Lin
 0.000753382 10.0412      Lin-Lin
 0.000825188 9.68861      Lin-Lin
 0.00083683  9.63146      Lin-Lin
 0.000910213 9.32914      Lin-Lin
 0.000936077 9.22262      Lin-Lin
 0.001004    8.98951      Lin-Lin
 0.00104709  8.84166      Lin-Lin
 0.00110745  8.66936      Lin-Lin
 0.00117128  8.4872       Lin-Lin
 0.00122155  8.36799      Lin-Lin
 0.00131019  8.15793      Lin-Lin
 0.00134742  8.08475      Lin-Lin
 0.00146558  7.85259      Lin-Lin
 0.00148625  7.81916      Lin-Lin
 0.00163939  7.57167      Lin-Lin
 0.00165096  7.55299      Lin-Lin
 0.00180831  7.3455       Lin-Lin
 0.0018597   7.27777      Lin-Lin
 0.00199463  7.13293      Lin-Lin
 0.00209493  7.02533      Lin-Lin
 0.00220016  6.93419      Lin-Lin
 0.00237644  6.78157      Lin-Lin
 0.00242685  6.74666      Lin-Lin
 0.00267691  6.57354      Lin-Lin
 0.00269579  6.56047      Lin-Lin
 0.00295273  6.41955      Lin-Lin
 0.00307947  6.35007      Lin-Lin
 0.00325697  6.27368      Lin-Lin
 0.00351794  6.16143      Lin-Lin
 0.00359256  6.13648      Lin-Lin
 0.00396272  6.01279      Lin-Lin
 0.00404698  5.98465      Lin-Lin
 0.00437103  5.90193      Lin-Lin
 0.00468819  5.82101      Lin-Lin
 0.00482141  5.79546      Lin-Lin
 0.00531819  5.70026      Lin-Lin
 0.00546931  5.67132      Lin-Lin
 0.00586616  5.61517      Lin-Lin
 0.00642558  5.53607      Lin-Lin
 0.00647059  5.53148      Lin-Lin
 0.0071373   5.46352      Lin-Lin
 0.00765518  5.41077      Lin-Lin
 0.00787271  5.39526      Lin-Lin
 0.00868389  5.33749      Lin-Lin
 0.0092492   5.29726      Lin-Lin
 0.00957865  5.28133      Lin-Lin
 0.0105656   5.23367      Lin-Lin
 0.0113322   5.19669      Lin-Lin
 0.0116543   5.18651      Lin-Lin
 0.0128551   5.1486       Lin-Lin
 0.0141796   5.10683      Lin-Lin
 0.0156406   5.07813      Lin-Lin
 0.0172522   5.04651      Lin-Lin
 0.0182466   5.02701      Lin-Lin
 0.0190298   5.01802      Lin-Lin
 0.0209906   4.99554      Lin-Lin
 0.0231534   4.97077      Lin-Lin
 0.0243176   4.95745      Lin-Lin
 0.0252419   4.94979      Lin-Lin
 0.0253      4.94933      Lin-Lin
 0.0279068   4.93448      Lin-Lin
 0.0307823   4.91813      Lin-Lin
 0.033954    4.90012      Lin-Lin
 0.0354114   4.89186      Lin-Lin
 0.0374525   4.8863       Lin-Lin
 0.0413115   4.87582      Lin-Lin
 0.0455681   4.86428      Lin-Lin
 0.0502633   4.85157      Lin-Lin
 0.0531604   4.84374      Lin-Lin
 0.0554423   4.84123      Lin-Lin
 0.0611549   4.83495      Lin-Lin
 0.0674561   4.82805      Lin-Lin
 0.0744066   4.82045      Lin-Lin
 0.0815023   4.81271      Lin-Lin
 0.0880284   4.80561      Lin-Lin
 0.0892703   4.80519      Lin-Lin
 0.0977835   4.8023       Lin-Lin
 0.107859    4.7989       Lin-Lin
 0.121496    4.79432      Lin-Lin
 0.142739    4.7872       Lin-Lin
 0.166521    4.77924      Lin-Lin
 0.173916    4.77676      Lin-Lin
 0.183679    4.77614      Lin-Lin
