#E,eV        Sig,b        Interpolation
 1E-05       55.1189      Lin-Lin
 1.10304E-05 52.4926      Lin-Lin
 1.21669E-05 49.9927      Lin-Lin
 1.34206E-05 47.6129      Lin-Lin
 1.48034E-05 45.3476      Lin-Lin
 1.63286E-05 43.1914      Lin-Lin
 1.80111E-05 41.1391      Lin-Lin
 1.98669E-05 39.1856      Lin-Lin
 2.19139E-05 37.3264      Lin-Lin
 2.41719E-05 35.557       Lin-Lin
 2.66625E-05 33.8731      Lin-Lin
 2.94097E-05 32.2706      Lin-Lin
 3.244E-05   30.7457      Lin-Lin
 3.57825E-05 29.2947      Lin-Lin
 3.94694E-05 27.9142      Lin-Lin
 4.35362E-05 26.6008      Lin-Lin
 4.80221E-05 25.3513      Lin-Lin
 5.29701E-05 24.1628      Lin-Lin
 5.8428E-05  23.0324      Lin-Lin
 6.44482E-05 21.9574      Lin-Lin
 7.10888E-05 20.9351      Lin-Lin
 7.84136E-05 19.9632      Lin-Lin
 8.64931E-05 19.0392      Lin-Lin
 9.54051E-05 18.161       Lin-Lin
 0.000105235 17.3264      Lin-Lin
 0.000116078 16.5334      Lin-Lin
 0.000128039 15.7842      Lin-Lin
 0.000128942 15.7277      Lin-Lin
 0.000141232 15.0719      Lin-Lin
 0.000143224 14.9656      Lin-Lin
 0.000155784 14.3949      Lin-Lin
 0.000159096 14.2444      Lin-Lin
 0.000171835 13.7517      Lin-Lin
 0.000176718 13.5628      Lin-Lin
 0.00018954  13.1407      Lin-Lin
 0.000196301 12.9182      Lin-Lin
 0.00020907  12.5607      Lin-Lin
 0.000218044 12.3094      Lin-Lin
 0.000230612 12.0102      Lin-Lin
 0.000242208 11.7342      Lin-Lin
 0.000254374 11.4881      Lin-Lin
 0.000269035 11.1914      Lin-Lin
 0.000280584 10.993       Lin-Lin
 0.000298849 10.6791      Lin-Lin
 0.000309494 10.5239      Lin-Lin
 0.000331951 10.1963      Lin-Lin
 0.000341383 10.0796      Lin-Lin
 0.000368737 9.74111      Lin-Lin
 0.000376558 9.65907      Lin-Lin
 0.000409579 9.3127       Lin-Lin
 0.000415358 9.26136      Lin-Lin
 0.000454968 8.90943      Lin-Lin
 0.000458155 8.88547      Lin-Lin
 0.000505362 8.5305       Lin-Lin
 0.000557433 8.19945      Lin-Lin
 0.000561365 8.17445      Lin-Lin
 0.000614869 7.88713      Lin-Lin
 0.000623544 7.84055      Lin-Lin
 0.000678223 7.59421      Lin-Lin
 0.000697495 7.50739      Lin-Lin
 0.000748105 7.31746      Lin-Lin
 0.000780217 7.19694      Lin-Lin
 0.000825188 7.05655      Lin-Lin
 0.00087275  6.90807      Lin-Lin
 0.000910213 6.81095      Lin-Lin
 0.000976257 6.63972      Lin-Lin
 0.001004    6.5801       Lin-Lin
 0.00109204  6.39087      Lin-Lin
 0.00110745  6.36363      Lin-Lin
 0.00122155  6.1619       Lin-Lin
 0.00123017  6.14667      Lin-Lin
