#E,eV        Sig,b        Interpolation
 1E-05       29.6483      Lin-Lin
 1.10304E-05 28.2371      Lin-Lin
 1.21669E-05 26.8939      Lin-Lin
 1.34206E-05 25.6153      Lin-Lin
 1.48034E-05 24.3983      Lin-Lin
 1.63286E-05 23.24        Lin-Lin
 1.80111E-05 22.1376      Lin-Lin
 1.98669E-05 21.0884      Lin-Lin
 2.19139E-05 20.0899      Lin-Lin
 2.41719E-05 19.1397      Lin-Lin
 2.66625E-05 18.2356      Lin-Lin
 2.94097E-05 17.3752      Lin-Lin
 3.244E-05   16.5567      Lin-Lin
 3.57825E-05 15.778       Lin-Lin
 3.94694E-05 15.0372      Lin-Lin
 4.35362E-05 14.3325      Lin-Lin
 4.80221E-05 13.6623      Lin-Lin
 5.29701E-05 13.025       Lin-Lin
 5.8428E-05  12.4189      Lin-Lin
 6.44482E-05 11.8427      Lin-Lin
 7.10888E-05 11.297       Lin-Lin
 7.15903E-05 11.2574      Lin-Lin
 7.84136E-05 10.7779      Lin-Lin
 7.95199E-05 10.7033      Lin-Lin
 8.64931E-05 10.2843      Lin-Lin
 8.83321E-05 10.1783      Lin-Lin
 9.54051E-05 9.81498      Lin-Lin
 9.8116E-05  9.68147      Lin-Lin
 0.000105235 9.36887      Lin-Lin
 0.000108989 9.21093      Lin-Lin
 0.000116078 8.94492      Lin-Lin
 0.000121061 8.76586      Lin-Lin
 0.000128039 8.54218      Lin-Lin
 0.000134477 8.3446       Lin-Lin
 0.000141232 8.15967      Lin-Lin
 0.000149372 7.9464       Lin-Lin
 0.000155784 7.79652      Lin-Lin
 0.000165925 7.56979      Lin-Lin
 0.000171835 7.45187      Lin-Lin
 0.000184303 7.21406      Lin-Lin
 0.00018954  7.12491      Lin-Lin
 0.000204728 6.87789      Lin-Lin
 0.00020907  6.81484      Lin-Lin
 0.000227404 6.56067      Lin-Lin
 0.000230612 6.52096      Lin-Lin
 0.000252604 6.26119      Lin-Lin
 0.000254374 6.24253      Lin-Lin
 0.000280584 5.9789       Lin-Lin
 0.000309494 5.73141      Lin-Lin
 0.000311677 5.71351      Lin-Lin
 0.000341383 5.4972       Lin-Lin
 0.000346199 5.46364      Lin-Lin
 0.000376558 5.27646      Lin-Lin
 0.000387258 5.21339      Lin-Lin
 0.000415358 5.06712      Lin-Lin
 0.00043202  4.98429      Lin-Lin
 0.000458155 4.86953      Lin-Lin
 0.000483257 4.76437      Lin-Lin
 0.000505362 4.68267      Lin-Lin
 0.000540571 4.55867      Lin-Lin
 0.000557433 4.50625      Lin-Lin
 0.000604682 4.36647      Lin-Lin
 0.000614869 4.33996      Lin-Lin
 0.000678223 4.18329      Lin-Lin
 0.000681168 4.17634      Lin-Lin
 0.000748105 4.03864      Lin-Lin
 0.000767291 4.00103      Lin-Lin
 0.000825188 3.90202      Lin-Lin
 0.000864345 3.83833      Lin-Lin
 0.000910213 3.77344      Lin-Lin
 0.000980496 3.67907      Lin-Lin
 0.001004    3.65168      Lin-Lin
 0.00110745  3.53757      Lin-Lin
 0.00111226  3.53252      Lin-Lin
 0.00122155  3.43391      Lin-Lin
 0.00127056  3.39197      Lin-Lin
 0.00134742  3.33549      Lin-Lin
 0.00145146  3.2632       Lin-Lin
 0.00148625  3.24246      Lin-Lin
 0.00163939  3.15643      Lin-Lin
 0.00166974  3.14029      Lin-Lin
 0.00180831  3.0778       Lin-Lin
 0.0019343   3.02422      Lin-Lin
 0.00199463  3.00251      Lin-Lin
 0.00220016  2.93311      Lin-Lin
 0.00225658  2.91513      Lin-Lin
 0.00242685  2.86969      Lin-Lin
 0.00265113  2.81356      Lin-Lin
 0.00267691  2.80813      Lin-Lin
 0.00295273  2.75406      Lin-Lin
 0.00313648  2.72031      Lin-Lin
 0.00325697  2.70189      Lin-Lin
 0.00359256  2.65416      Lin-Lin
 0.00376303  2.63148      Lin-Lin
 0.00396272  2.6096       Lin-Lin
 0.00437103  2.5681       Lin-Lin
 0.00457845  2.54844      Lin-Lin
 0.00482141  2.52963      Lin-Lin
 0.00531819  2.49412      Lin-Lin
 0.00568872  2.46952      Lin-Lin
 0.00586616  2.45998      Lin-Lin
 0.00647059  2.43016      Lin-Lin
 0.0071373   2.3998       Lin-Lin
 0.00726942  2.39421      Lin-Lin
 0.00787271  2.37397      Lin-Lin
 0.00868389  2.34906      Lin-Lin
 0.00955285  2.3245       Lin-Lin
