#E,eV        Sig,b        Interpolation
 1E-05       36.3846      Lin-Lin
 1.10304E-05 34.6476      Lin-Lin
 1.21669E-05 32.9938      Lin-Lin
 1.34206E-05 31.4195      Lin-Lin
 1.48034E-05 29.9206      Lin-Lin
 1.63286E-05 28.4938      Lin-Lin
 1.80111E-05 27.1354      Lin-Lin
 1.98669E-05 25.8423      Lin-Lin
 2.19139E-05 24.6114      Lin-Lin
 2.41719E-05 23.4409      Lin-Lin
 2.43087E-05 23.3772      Lin-Lin
 2.66625E-05 22.3254      Lin-Lin
 2.68133E-05 22.2648      Lin-Lin
 2.94097E-05 21.2636      Lin-Lin
 2.95761E-05 21.2059      Lin-Lin
 3.244E-05   20.2529      Lin-Lin
 3.26235E-05 20.198       Lin-Lin
 3.57825E-05 19.291       Lin-Lin
 3.5985E-05  19.2387      Lin-Lin
 3.94694E-05 18.3754      Lin-Lin
 3.96927E-05 18.3257      Lin-Lin
 4.35362E-05 17.504       Lin-Lin
 4.37826E-05 17.4567      Lin-Lin
 4.80221E-05 16.6747      Lin-Lin
 4.82938E-05 16.6297      Lin-Lin
 5.29701E-05 15.8855      Lin-Lin
 5.32698E-05 15.8426      Lin-Lin
 5.8428E-05  15.1345      Lin-Lin
 5.87586E-05 15.0937      Lin-Lin
 6.44482E-05 14.4208      Lin-Lin
 6.49029E-05 14.3724      Lin-Lin
 6.52701E-05 14.3334      Lin-Lin
 7.10888E-05 13.7414      Lin-Lin
 7.20917E-05 13.6497      Lin-Lin
 7.24996E-05 13.6125      Lin-Lin
 7.84136E-05 13.0949      Lin-Lin
 8.00808E-05 12.9639      Lin-Lin
 8.05339E-05 12.9283      Lin-Lin
 8.64931E-05 12.4797      Lin-Lin
 8.89508E-05 12.3136      Lin-Lin
 8.94541E-05 12.2796      Lin-Lin
 9.54051E-05 11.8943      Lin-Lin
 9.88082E-05 11.6966      Lin-Lin
 9.93672E-05 11.6641      Lin-Lin
 0.000105235 11.3373      Lin-Lin
 0.000109753 11.1117      Lin-Lin
 0.000110373 11.0807      Lin-Lin
 0.000116078 10.8075      Lin-Lin
 0.000121916 10.5569      Lin-Lin
 0.000122605 10.5272      Lin-Lin
 0.000128039 10.3035      Lin-Lin
 0.000135419 10.0311      Lin-Lin
 0.000136185 10.0029      Lin-Lin
 0.000141232 9.82419      Lin-Lin
 0.000150426 9.53253      Lin-Lin
 0.000151277 9.50554      Lin-Lin
 0.000155784 9.36836      Lin-Lin
 0.000167087 9.06023      Lin-Lin
 0.000168032 9.03447      Lin-Lin
 0.000171835 8.93496      Lin-Lin
 0.000185604 8.61245      Lin-Lin
 0.000186654 8.58786      Lin-Lin
 0.00018954  8.52293      Lin-Lin
 0.000206161 8.18845      Lin-Lin
 0.000207328 8.16498      Lin-Lin
 0.00020907  8.1313       Lin-Lin
 0.000229008 7.78662      Lin-Lin
 0.000230304 7.76423      Lin-Lin
 0.000230612 7.75912      Lin-Lin
 0.000254374 7.4063       Lin-Lin
 0.000255813 7.38713      Lin-Lin
 0.000280584 7.07128      Lin-Lin
 0.000282563 7.04864      Lin-Lin
 0.000284162 7.03037      Lin-Lin
 0.000309494 6.75302      Lin-Lin
 0.00031386  6.71018      Lin-Lin
 0.000315636 6.69276      Lin-Lin
 0.000341383 6.45109      Lin-Lin
 0.000351084 6.36955      Lin-Lin
 0.00035307  6.35286      Lin-Lin
 0.000376558 6.16414      Lin-Lin
 0.000392722 6.04794      Lin-Lin
 0.000394944 6.03197      Lin-Lin
 0.000415358 5.89158      Lin-Lin
 0.000439298 5.74441      Lin-Lin
 0.000441784 5.72914      Lin-Lin
 0.000458155 5.63278      Lin-Lin
 0.000491399 5.45806      Lin-Lin
 0.000494179 5.44345      Lin-Lin
 0.000505362 5.38712      Lin-Lin
 0.000549678 5.18802      Lin-Lin
